"item_id","marketplace","country","main_image_id","domain_name","bullet_point","item_keywords","material","brand","color","item_name","model_name","model_number","product_type"
"B0853X7K7F","Amazon","IN","718gi6Jl0TL","amazon.in","Snug fit for Micromax Bharat 2 Q402, with perfect cut-outs for volume buttons, audio and charging ports Compatible with Micromax Bharat 2 Q402 Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface.","Back Cover Designer Case Designer Half Fill Mobile Cover Flexible Case Micromax Bharat 2 Q402 Case Printed Cover Silicone Case Soft TPU cases and covers fashion case mobile Cover","Silicon","Amazon Brand - Solimo","Multicolor","Amazon Brand - Solimo Designer Half Fill UV Printed Soft Back Case Mobile Cover for Micromax Bharat 2 Q402","Micromax Bharat 2 Q402","UV10043-SL12390","CELLULAR_PHONE_CASE"
"B0856B6XD7","Amazon","IN","71GUiXab3CL","amazon.in","Snug fit for Huawei Honor 4X, with perfect cut-outs for volume buttons, audio and charging ports Compatible with Huawei Honor 4X Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface.","Back Cover Designer Case Designer Stars Mobile Cover Flexible Case Huawei Honor 4X Case Printed Cover Silicone Case Soft TPU cases and covers fashion case mobile Cover","Silicon","Amazon Brand - Solimo","Multicolor","Amazon Brand - Solimo Designer Stars UV Printed Soft Back Case Mobile Cover for Huawei Honor 4X","Huawei Honor 4X","UV10197-SL40421","CELLULAR_PHONE_CASE"
"B08C3C39PS","Amazon","IN","71+9XD3BibL","amazon.in","Outer Material: Synthetic Closure Type: Hook & Loop Heel type: cone heel Heel Height: 2.5 centimeters Toe Style: Pointed Toe Warranty Type: Manufacturer Warranty Description: 90 days","ROMAN SANDAL SANDAL FISHERMAN SANDAL OUTDOOR SANDAL NEW SANDAL","Synthetic","Centrino","Brown","Centrino Men's Brown Fisherman Sandals-7 UK (41 EU) (8 US) (6105-02)","6105-02","6105-02","SHOES"
"B0872LWWQ7","Amazon","NL","81y9CfYIPkL","amazon.nl","","","","","","","","KBB-500","PORTABLE_AV_DEVICE"
"B07PTLR1C1","Amazon","ES","61dMVUThHxL","amazon.es","","","","","","","","SL-011MCLSS-40","LIGHT_FIXTURE"
"B07TGBS6J6","Amazon","IN","71I54BNqzoL","amazon.in","3D Printed Hard Back Case Mobile Cover for Sony Xperia L1 Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface. Slim Hard Back Cover No Warranty","mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover","","Amazon Brand - Solimo","Others","Amazon Brand - Solimo Designer Solar System 3D Printed Hard Back Case Mobile Cover for Sony Xperia L1","Sony Xperia L1","gz8467-SL40413","CELLULAR_PHONE_CASE"
"B07TBV69PD","Amazon","IN","71Uu7BAA93L","amazon.in","3D Printed Hard Back Case Mobile Cover for Oppo A37 Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface. Slim Hard Back Cover No Warranty","mobile cover back cover mobile case phone case mobile panel phone panel samsung mobile case samsung phone cover samsung back case mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Oppo mobile case Oppo phone cover Oppo back case hard case 3D printed mobile cover","","Amazon Brand - Solimo","Others","Amazon Brand - Solimo Designer Golden Zik Zak Pattern 3D Printed Hard Back Case Mobile Cover for Oppo A37","Oppo A37","gz8355-SL40435","CELLULAR_PHONE_CASE"
"B072WTDLGZ","Amazon","IN","81P4ciC5fKL","amazon.in","Set includes two casseroles with capacity of 2.1 L and 2.8 L, with a diameter of 18 cm and 24 cm; and weight of 1.045 kg and 2.8 kg, respectively Made from food-grade stainless steel, the casserole is long lasting and metal spoon friendly Thick 0.6mm stainless steel body and sandwich bottom provide durability and allow quick and even heating Compatible with both induction and gas stoves Cool touch Bakelite handles are heat-resistant and enable hassle-free handling Glass lid offers an aesthetic appeal and retains heat to keep food warm","hot boxes for kitchen casseroles hot box hotcase casrol hot pot chapati hot box hot boxes roti casseroles steel casseroles hotcase for roti steel hot box hot boxes for kitchen offers caserolles set casrol casrol hot pot for roti hotcase for roti best silver hot box hot box for kitchen caserolles hot boxes for kitchen below 500 casrole hot box for food casroll hot boxes for kitchen stylish chappati hot box casroll hot pot hot box stainless steel stainless steel hot box hot box steel hot boxs caserolles caserolles set casrol casrol hot pot casrol hot pot for roti casseroles chapati hot box hot box hot box for kitchen hot boxes hot boxes for kitchen hot boxes for kitchen below 500 hot boxes for kitchen offers hotcase hotcase for roti hotcase for roti best roti casseroles silver hot box steel casseroles steel hot box caserolles caserolles set casrol casrol hot pot casrol hot pot for roti casseroles chapati hot box hot box hot box for kitchen hot boxes hot boxes for kitchen hot boxes for kitchen below 500 hot boxes for kitchen offers hotcase hotcase for roti hotcase for roti best roti casseroles silver hot box steel casseroles steel hot box caserolles caserolles set casrol casrol hot pot casrol hot pot for roti casseroles chapati hot box hot box hot box for kitchen hot boxes hot boxes for kitchen hot boxes for kitchen below 500 hot boxes for kitchen offers hotcase hotcase for roti hotcase for roti best roti casseroles silver hot box steel casseroles steel hot box caserolles caserolles set casrol casrol hot pot casrol hot pot for roti casseroles chapati hot box hot box hot box for kitchen hot boxes hot boxes for kitchen hot boxes for kitchen below 500 hot boxes for kitchen offers hotcase hotcase for roti hotcase for roti best roti casseroles silver hot box steel casseroles steel hot box caserolles caserolles set casrol casrol hot pot casrol hot pot for roti casseroles chapati hot box hot box hot box for kitchen hot boxes hot boxes for kitchen hot boxes for kitchen below 500 hot boxes for kitchen offers hotcase hotcase for roti hotcase for roti best roti casseroles silver hot box steel casseroles steel hot box caserolles caserolles set casrol casrol hot pot casrol hot pot for roti casseroles chapati hot box hot box hot box for kitchen hot boxes hot boxes for kitchen hot boxes for kitchen below 500 hot boxes for kitchen offers hotcase hotcase for roti hotcase for roti best roti casseroles silver hot box steel casseroles steel hot box caserolles caserolles set casrol casrol hot pot casrol hot pot for roti casseroles chapati hot box hot box hot box for kitchen hot boxes hot boxes for kitchen hot boxes for kitchen below 500 hot boxes for kitchen offers hotcase hotcase for roti hotcase for roti best roti casseroles silver hot box steel casseroles steel hot box caserolles caserolles set casrol casrol hot pot casrol hot pot for roti casseroles chapati hot box hot box hot box for kitchen hot boxes hot boxes for kitchen hot boxes for kitchen below 500 hot boxes for kitchen offers hotcase hotcase for roti hotcase for roti best roti casseroles silver hot box steel casseroles steel hot box caserolles caserolles set casrol casrol hot pot casrol hot pot for roti casseroles chapati hot box hot box hot box for kitchen hot boxes hot boxes for kitchen hot boxes for kitchen below 500 hot boxes for kitchen offers hotcase hotcase for roti hotcase for roti best roti casseroles silver hot box steel casseroles steel hot box caserolles caserolles set casrol casrol hot pot casrol hot pot for roti casseroles chapati hot box hot box hot box for kitchen hot boxes hot boxes for kitchen hot boxes for kitchen below 500 hot boxes for kitchen offers hotcase hotcase for roti hotcase for roti best roti casseroles silver hot box steel casseroles steel hot box caserolles caserolles set casrol casrol hot pot casrol hot pot for roti casseroles chapati hot box hot box hot box for kitchen hot boxes hot boxes for kitchen hot boxes for kitchen below 500 hot boxes for kitchen offers hotcase hotcase for roti hotcase for roti best roti casseroles silver hot box steel casseroles steel hot box caserolles caserolles set casrol casrol hot pot casrol hot pot for roti casseroles chapati hot box hot box hot box for kitchen hot boxes hot boxes for kitchen hot boxes for kitchen below 500 hot boxes for kitchen offers hotcase hotcase for roti hotcase for roti best roti casseroles silver hot box steel casseroles steel hot box caserolles caserolles set casrol casrol hot pot casrol hot pot for roti casseroles chapati hot box hot box hot box for kitchen hot boxes hot boxes for kitchen hot boxes for kitchen below 500 hot boxes for kitchen offers hotcase hotcase for roti hotcase for roti best roti casseroles silver hot box steel casseroles steel hot box caserolles caserolles set casrol casrol hot pot casrol hot pot for roti casseroles chapati hot box hot box hot box for kitchen hot boxes hot boxes for kitchen hot boxes for kitchen below 500 hot boxes for kitchen offers hotcase hotcase for roti hotcase for roti best roti casseroles silver hot box steel casseroles steel hot box","Stainless Steel","Amazon Brand - Solimo","Red","Amazon Brand - Solimo Stainless Steel 2-Piece Casserole with Glass Lids","","SOL-HK-BRGN31-VV","KITCHEN"
"B07T6MLDVZ","Amazon","IN","81Ah9UXBnBL","amazon.in","3D Printed Hard Back Case Mobile Cover for Asus Zenfone 2 laser ZE550 KL Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface. Slim Hard Back Cover No Warranty","mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Asus mobile case Asus phone cover Asus back case Zenfone cases Zenfone cover mobile cover back cover mobile case phone case mobile panel phone panel Asus mobile case Asus phone cover Asus back case Zenfone cases Zenfone cover mobile cover back cover mobile case phone case mobile panel phone panel Asus mobile case Asus phone cover Asus back case Zenfone cases Zenfone cover mobile cover back cover mobile case phone case mobile panel phone panel Asus mobile case Asus phone cover Asus back case Zenfone cases Zenfone cover mobile cover back cover mobile case phone case mobile panel phone panel Asus mobile case Asus phone cover Asus back case Zenfone cases Zenfone cover mobile cover back cover mobile case phone case mobile panel phone panel Asus mobile case Asus phone cover Asus back case Zenfone cases Zenfone cover mobile cover back cover mobile case phone case mobile panel phone panel Asus mobile case Asus phone cover Asus back case Zenfone cases Zenfone cover mobile cover back cover mobile case phone case mobile panel phone panel Asus mobile case Asus phone cover Asus back case Zenfone cases Zenfone cover mobile cover back cover mobile case phone case mobile panel phone panel Asus mobile case Asus phone cover Asus back case Zenfone cases Zenfone cover mobile cover back cover mobile case phone case mobile panel phone panel Asus mobile case Asus phone cover Asus back case Zenfone cases Zenfone cover mobile cover back cover mobile case phone case mobile panel phone panel Asus mobile case Asus phone cover Asus back case Zenfone cases Zenfone cover mobile cover back cover mobile case phone case mobile panel phone panel Asus mobile case Asus phone cover Asus back case Zenfone cases Zenfone cover mobile cover back cover mobile case phone case mobile panel phone panel Asus mobile case Asus phone cover Asus back case Zenfone cases Zenfone cover mobile cover back cover mobile case phone case mobile panel phone panel Asus mobile case Asus phone cover Asus back case Zenfone cases Zenfone cover","","Amazon Brand - Solimo","Others","Amazon Brand - Solimo Designer Multicolor Flash 3D Printed Hard Back Case Mobile Cover for Asus Zenfone 2 Laser ZE550 KL","Asus Zenfone 2 laser ZE550 KL","gz8127-SL40781","CELLULAR_PHONE_CASE"
"B0883L6981","Amazon","IN","81YsJGedBHL","amazon.in","Outer Material: Synthetic Closure Type: Slip On Toe Style: Open Toe Warranty Type: Manufacturer Warranty Description: 60 days","Flexible and Stylish Light weight and durable Soft footbed Non-slip bottom sole Washable","","Bourge","Peach and Wine","Bourge Women's Gallery-21 Peach and Wine Flip Flops-5 UK (37 EU) (6 US) (Gallery-21-05)","Gallery-21","Gallery-21-05","SHOES"
"B008U4R38U","Amazon","NL","81ssuA5Tm2L","amazon.nl","","","","","","","","Griffen Table, Natural","TABLE"
